N;3days;1day;1survey;noQs;CODICE;MON;WED;FRY;Started
194;;;;;AGRB1965;;;;FRY
195;;;;;GMGA1942;;;;
196;;;;;ubgm1953;;6;;
197;;;;;Gtcdb948;;;;
198;;;;;FBAQ1939;;;;
199;;;;1;GBPL1960;;;1;
200;;;;;dfmg1924;;;;
201;;;;;GDDN1921;;;;
202;;;;;gpmb1956;7;5;;
203;;;;;GBIG1947;4;3;;
204;;;;;GBGP1949;INIZIA Più AVANTI;;;
205;;;;;RMIM1955;;;;
206;;;;;PSAMT1949;;;;
207;;;;;CPRZ1951;;;;
208;;;;;PVDV1937;;;;
209;;;;;AABB1947;;;;
210;;;;;ACBM1954;;;;
211;;;;;AMAZ1963;;;;
212;;;;1;SFP90;;;;
213;;;;;CASR1937;;;;
214;;;;;SCES1957;;;;
